id,name,age
1,Rameez,17
2,Hameed,23
12,Gowtham,19
13,Aravind,31
14,Rizwan,20
15,Sameer,29
16,Imran,26
17,Suresh,32
18,Rahul,34
19,Ajay,23
20,Manoj,40
21,Deepak,35
22,Pranav,18
23,Balaji,37
24,Mohammed,41
25,Sachin,22
26,Gautham,27
27,Shankar,36
28,Kamal,28
29,Vinoth,33
30,Harish,25
31,Basha,39
32,Shahul,20
33,Jayakumar,42
34,Kathir,30
35,Prem,31
36,Ganesh,26
37,Vishwa,29
38,Daniel,34
39,Michael,38
40,Stephen,45
41,John,50
42,Andrew,22
43,Joseph,24
44,Kevin,19
45,Edward,28
46,Martin,33
47,Thomas,27
48,Henry,23
49,Robert,32
50,Richard,21
